index,nerdiness
0,0.2877251
1,0.81469476
2,0.96270424
3,0.83776605
4,0.9726197
5,-0.020298328
6,0.94327915
7,0.84264064
8,0.5536405
9,0.5421837
10,0.6153899
11,0.9675699
12,0.973644
13,0.34583336
14,0.9066232
15,0.47460374
16,0.19545008
17,0.8098757
18,0.8770766
19,0.43553355
20,0.15415119
21,0.09353971
22,0.72635907
23,0.28188437
24,0.13481262
25,0.7947643
26,1.1193229
27,0.40300533
28,0.38192165
29,0.1276123
30,0.0204489
31,0.3211126
32,0.82371974
33,0.29674464
34,0.7277049
35,0.16408725
36,0.5427494
37,0.429361
38,0.744956
39,0.81689745
40,0.55318135
41,0.16480756
42,0.9100839
43,0.007853487
44,1.1796886
45,0.12328773
46,0.687099
47,0.1663742
48,0.98495823
49,0.48210853
50,0.47256663
51,-0.0444247
52,0.71404177
53,0.7295841
54,0.9677025
55,0.63573176
56,0.0075156856
57,0.9671684
58,-0.038363356
59,0.70601004
60,0.8226425
61,0.25325957
62,0.6676151
63,0.070711255
64,0.75487125
65,0.20027952
66,0.06944443
67,0.542752
68,0.27695337
69,0.6665425
70,0.7548661
71,0.5720414
72,0.4486435
73,0.7164121
74,0.8916859
75,0.35087433
76,0.10378667
77,0.7390892
78,0.7934034
79,0.9691903
80,0.91675705
81,0.67984617
82,0.24618086
83,-0.0028904194
84,0.37527862
85,0.40360337
86,1.2357422
87,0.6581912
88,0.5392185
89,0.912999
90,0.8470398
91,0.47501144
92,0.26502204
93,0.4321002
94,0.89194286
95,0.029671218
96,0.8301887
97,0.72998536
98,0.090057515
99,0.7949691
100,0.66583484
101,-0.07438145
102,0.050076593
103,0.7963611
104,0.35188127
105,0.25890476
106,0.48880807
107,0.85569745
108,0.95052224
109,0.46187782
110,0.885195
111,-0.108674966
112,0.3463998
113,0.4915195
114,1.120235
115,0.9340341
116,0.9561601
117,0.13040188
118,0.7226868
119,1.0192975
120,0.10852206
121,0.15246554
122,0.23608652
123,0.9613562
124,0.79374194
125,0.8856665
126,0.6356318
127,0.8553449
128,0.43985495
129,0.21082391
130,1.0621212
131,0.80403435
132,0.88517064
133,8.6697226e-05
134,0.062014036
135,-0.029228568
136,0.8874106
137,0.54609936
138,1.1060228
139,0.20460084
140,0.8852213
141,0.58101827
142,1.0139781
143,0.4108567
144,0.74403733
145,0.17960823
146,0.08402134
147,0.98178154
148,0.54019725
149,0.9408359
150,-0.298145
151,0.71232575
152,0.9662262
153,0.4877578
154,-0.072138555
155,0.008490502
156,0.22366509
157,0.3101238
158,1.1078035
159,0.6726973
160,0.14384408
161,0.5277576
162,0.5223194
163,0.76765764
164,0.71744543
165,-0.038107652
166,0.29337728
167,0.2819528
168,0.9604274
169,0.08172612
170,0.89223063
171,0.69480383
172,0.9961442
173,1.003324
174,0.46839127
175,0.5035774
176,0.21485695
177,0.25419512
178,0.7553333
179,0.6535721
180,0.59307265
181,0.88314867
182,0.17015491
183,1.0550357
184,0.56942767
185,0.9441224
186,0.8209676
187,0.8424328
188,0.34148705
189,0.584593
190,0.5563074
191,0.8061623
192,-0.1372504
193,0.981008
194,0.45276558
195,0.32321113
196,0.30024108
197,0.9163146
198,0.384244
199,0.9296555
200,0.04429838
201,0.7564045
202,0.76332253
203,0.90081567
204,0.8097758
205,0.7642211
206,0.2004622
207,0.8812202
208,1.0256655
209,0.2711727
210,0.93103504
211,0.9310724
212,0.16138604
213,0.86059874
214,0.66109014
215,1.1273363
216,0.26657856
217,0.78723896
218,1.0872418
219,0.043555826
220,0.82148314
221,0.16419026
222,0.7242025
223,0.6297988
224,0.32611197
225,0.086578906
226,0.44202322
227,0.4765607
228,0.84800696
229,0.71391016
230,1.0119284
231,0.41679552
232,0.33789587
233,0.7919451
234,0.121027835
235,0.62944627
236,0.1944268
237,-0.13629667
238,0.73503333
239,0.10174706
240,0.9593192
241,0.725792
242,0.3280741
243,0.9917729
244,0.105099805
245,-0.07770597
246,0.56085557
247,0.8002416
248,0.6787871
249,0.5972363
250,1.0320946
251,1.0480859
252,0.1768616
253,0.54212475
254,1.1521976
255,0.79673016
256,0.4401388
257,0.037645347
258,0.9782531
259,0.8966203
260,0.6485746
261,0.35282737
262,0.55739903
263,0.89155704
264,-0.06958559
265,0.72248375
266,0.67886305
267,0.73858535
268,0.61728173
269,0.3763997
270,0.46264255
271,0.06342228
272,0.26360798
273,0.4750745
274,0.5772981
275,0.15676205
276,0.13251102
277,0.65050644
278,0.06893016
279,0.7259622
280,0.7557109
281,0.20032962
282,0.7590497
283,1.0254395
284,0.5440022
285,0.70068204
286,0.15048507
287,0.9399376
288,0.51861554
289,0.89907235
290,0.8935698
291,0.582826
292,0.7730495
293,0.2664903
294,0.83050424
295,0.46312362
296,0.66268975
297,0.62096
298,0.7055646
299,0.44650996
300,0.2859754
301,0.7086994
302,0.047863305
303,0.19099359
304,0.9783103
305,1.0354728
306,0.8016028
307,0.5858306
308,0.72585374
309,0.51789856
310,0.791582
311,0.4094588
312,0.27115
313,0.07005165
314,0.63656247
315,0.71692806
316,0.2943124
317,0.106249996
318,0.5695066
319,0.70041573
320,0.7039983
321,0.8059872
322,0.7590644
323,0.46166593
324,0.5466876
325,-0.0678358
326,0.7667217
327,0.37563762
328,0.92152476
329,0.9100839
330,0.63656247
331,1.0351863
332,0.92056865
333,0.86445725
334,0.36643437
335,0.5600074
336,0.34601903
337,0.8472712
338,0.28052872
339,0.9175184
340,0.583022
341,0.43798867
342,0.84121966
343,0.25882596
344,1.0284181
345,1.0355161
346,0.31791535
347,0.71349645
348,0.5206154
349,0.48114756
350,0.68136054
351,0.5134899
352,0.96587
353,0.79963255
354,0.9237862
355,0.3553847
356,0.9954315
357,1.0386969
358,0.47794876
359,-0.07746818
360,0.5994695
361,0.25809753
362,0.42875504
363,0.102577746
364,0.9267089
365,0.8985559
366,0.4596001
367,0.39694336
368,0.6724061
369,0.28620568
370,0.91920394
371,0.8494565
372,0.95804584
373,0.7647377
374,0.43477193
375,0.5598774
376,0.22974686
377,0.6697217
378,0.60165375
379,0.30726364
380,0.1976234
381,0.7616821
382,0.77970874
383,0.7634463
384,0.83468866
385,0.70820814
386,0.7050548
387,1.0624051
388,0.9043667
389,0.69558215
390,1.1909281
391,0.5972363
392,0.46012637
393,0.022654466
394,0.90237343
395,0.24012995
396,0.840612
397,0.9914685
398,0.35585782
399,1.0330905
400,0.6051728
401,0.45777333
402,0.7374875
403,0.17668372
404,0.8349265
405,-0.0026698601
406,0.9192655
407,0.7991977
408,0.7641871
409,0.5193988
410,0.74234587
411,1.3189574
412,0.059085324
413,0.40360337
414,0.44851774
415,-0.03640201
416,0.89117837
417,0.06629259
418,0.26885515
419,-0.017689055
420,0.48475587
421,0.69970834
422,0.97551733
423,0.09408621
424,0.68548214
425,0.7707736
426,0.045722384
427,1.0198686
428,0.47553936
429,0.7709945
430,0.6856711
431,1.040766
432,0.53525746
433,0.20356432
434,0.6935774
435,0.97258925
436,0.63485014
437,0.82805955
438,0.52617246
439,0.47879338
440,-0.016814262
441,0.81253934
442,1.0357652
443,0.1769034
444,0.83030695
445,1.0151923
446,0.3136546
447,0.1583164
448,0.7933953
449,0.045637105
450,1.1862259
451,0.65796167
452,-0.25633243
453,0.25909385
454,0.6524371
455,0.75567067
456,0.61383045
457,0.16397344
458,0.4482444
459,0.9088433
460,0.5819029
461,-0.055870887
462,0.72141135
463,0.7912995
464,0.19520491
465,0.70360297
466,0.28869992
467,0.604367
468,0.5323655
469,0.7945619
470,0.5754087
471,0.7668171
472,0.56829685
473,0.5764383
474,0.42394692
475,0.5975894
476,0.6509985
477,0.7441068
478,0.6182862
479,0.721904
480,0.5183954
481,0.50719434
482,0.88352805
483,0.8285944
484,0.102993995
485,0.42505288
486,0.6938723
487,0.76198184
488,0.6948369
489,0.6499157
490,1.0248812
491,0.8853448
492,1.0898097
493,1.0664003
494,0.5231885
495,0.930533
496,0.8757252
497,0.6959153
498,0.812457
499,0.10582209
500,0.8868326
501,0.24772564
502,0.58523846
503,1.0711523
504,0.4719189
505,0.8224591
506,0.87685823
507,0.36110002
508,0.99980205
509,0.1546882
510,0.5925211
511,0.48542297
512,0.078536764
513,0.807824
514,0.7852415
515,0.8345354
516,0.62115437
517,0.14790586
518,0.79959613
519,0.6897346
520,0.59817636
521,0.025221579
522,0.6673464
523,0.9585689
524,0.4059493
525,0.6866099
526,0.8372634
527,0.4840516
528,0.97125334
529,0.14501974
530,-0.01483253
531,0.14970462
532,0.8213112
533,0.15540488
534,0.77369255
535,0.36761898
536,0.6692183
537,0.57923055
538,0.9524433
539,0.80834824
540,0.92016137
541,0.63861257
542,0.95141107
543,0.6499583
544,0.144759
545,0.97805387
546,0.99151695
547,0.9050566
548,0.06760148
549,0.9805601
550,0.71338856
551,0.041502327
552,0.41144398
553,0.474035
554,0.9699703
555,0.7911688
556,0.9477759
557,0.37745684
558,0.6398451
559,0.69416517
560,0.5199815
561,0.8992294
562,0.90787756
563,-0.121105775
