index,nerdiness
0,0.25133333333333335
1,0.8276666666666667
2,0.849
3,0.601
4,0.8523333333333334
5,0.058
6,0.709
7,0.8206666666666667
8,0.42033333333333334
9,0.4216666666666667
10,0.626
11,0.8813333333333333
12,0.9176666666666666
13,0.396
14,0.7033333333333334
15,0.38466666666666666
16,0.19066666666666668
17,0.5343333333333333
18,0.7276666666666667
19,0.6376666666666667
20,0.3616666666666667
21,0.33066666666666666
22,0.5806666666666667
23,0.46366666666666667
24,0.17233333333333334
25,0.7066666666666667
26,0.7303333333333333
27,0.7296666666666667
28,0.5123333333333333
29,0.058666666666666666
30,0.10833333333333334
31,0.275
32,0.8513333333333334
33,0.534
34,0.6826666666666666
35,0.17033333333333334
36,0.4106666666666667
37,0.4266666666666667
38,0.6316666666666667
39,0.7803333333333333
40,0.7113333333333334
41,0.17866666666666667
42,0.706
43,0.05466666666666667
44,0.8073333333333333
45,0.252
46,0.8073333333333333
47,0.2763333333333333
48,0.9293333333333333
49,0.7736666666666666
50,0.391
51,0.147
52,0.8163333333333334
53,0.8703333333333333
54,0.9003333333333333
55,0.7656666666666667
56,0.25766666666666665
57,0.659
58,0.365
59,0.609
60,0.765
61,0.461
62,0.8286666666666667
63,0.4166666666666667
64,0.7053333333333334
65,0.506
66,0.251
67,0.536
68,0.22733333333333333
69,0.6203333333333333
70,0.9846666666666667
71,0.44766666666666666
72,0.5073333333333333
73,0.7113333333333334
74,0.6906666666666667
75,0.29533333333333334
76,0.116
77,0.613
78,0.695
79,0.8543333333333333
80,0.8403333333333334
81,0.7693333333333333
82,0.18233333333333332
83,0.12533333333333332
84,0.362
85,0.6453333333333333
86,0.9226666666666666
87,0.7563333333333333
88,0.6953333333333334
89,0.8056666666666666
90,0.839
91,0.26766666666666666
92,0.31666666666666665
93,0.44866666666666666
94,0.863
95,0.11666666666666667
96,0.8826666666666667
97,0.7126666666666667
98,0.3536666666666667
99,0.8323333333333334
100,0.513
101,0.057
102,0.29933333333333334
103,0.7606666666666667
104,0.43833333333333335
105,0.25366666666666665
106,0.44
107,0.8156666666666667
108,0.981
109,0.248
110,0.719
111,0.065
112,0.5096666666666667
113,0.5283333333333333
114,0.8706666666666667
115,0.819
116,0.899
117,0.15366666666666667
118,0.781
119,0.786
120,0.18233333333333332
121,0.15866666666666668
122,0.23033333333333333
123,0.8593333333333333
124,0.8736666666666667
125,0.9546666666666667
126,0.649
127,0.6496666666666666
128,0.4786666666666667
129,0.281
130,0.9366666666666666
131,0.665
132,0.754
133,0.338
134,0.23166666666666666
135,0.067
136,0.8813333333333333
137,0.6653333333333333
138,0.9673333333333334
139,0.417
140,0.939
