index,nerdiness
0,0.5172207
1,0.7176709
2,1.0537875
3,0.8522035
4,0.80313045
5,0.005069412
6,0.8970041
7,0.8436204
8,0.2941104
9,0.578458
10,0.614815
11,0.8021408
12,0.99476963
13,0.3825759
14,1.0156615
15,0.478724
16,0.10250042
17,0.78985536
18,0.6166166
19,0.6205494
20,0.17591101
21,0.14280196
22,0.7934005
23,0.38124123
24,0.19061162
25,0.59745574
26,0.9362483
27,0.40206963
28,0.4559363
29,0.0941705
30,0.010779715
31,0.30454224
32,0.7396876
33,0.37178126
34,0.73081976
35,0.11481855
36,0.44871283
37,0.3839322
38,0.5989462
39,0.8071677
40,0.59001297
41,0.19180207
42,0.90460664
43,-0.059510347
44,1.1398672
45,0.0034601497
46,0.74143124
47,0.23264539
48,1.054312
49,0.47720674
50,0.3253068
51,0.053387124
52,0.7166196
53,0.7235239
54,0.90503716
55,0.9086104
56,-0.097468264
57,0.7746321
58,0.23963311
59,0.5659207
60,0.705137
61,0.27380374
62,0.7227383
63,-0.09101124
64,0.72206795
65,0.04886729
66,-0.019590218
67,0.54265577
68,0.42518997
69,0.7561878
70,0.84296775
71,0.45176306
72,0.5118773
73,0.66715056
74,0.9039475
75,0.39339304
76,0.056892518
77,0.55282176
78,0.7333785
79,0.9550022
80,0.9333991
81,0.6279342
82,0.3477238
83,-0.00026015364
84,0.40341604
85,0.53854847
86,1.1063455
87,0.6981121
88,0.78854567
89,0.858941
90,0.81132597
91,0.39912254
92,0.37253717
93,0.5699859
94,1.0556659
95,0.08103647
96,0.80482775
97,0.7591382
98,0.04230346
99,0.8555748
100,0.5976293
101,-0.13495198
102,0.19745812
103,0.80403185
104,0.29323807
105,0.119492404
106,0.4916224
107,0.8441257
108,0.8759959
109,0.50755954
110,0.7847384
111,-0.09788677
112,0.4083752
113,0.70253927
114,1.1562158
115,0.9477481
116,1.0411227
117,0.028576849
118,0.68865496
119,1.0858252
120,0.08841899
121,0.07022041
122,0.27726808
123,0.87486684
124,0.8106086
125,0.8424614
126,0.7840196
127,0.9212624
128,0.5641531
129,0.2517133
130,1.0944498
131,0.76854914
132,0.88636494
133,0.17439584
134,-0.028543824
135,0.11937921
136,0.9071729
137,0.56103593
138,1.1015964
139,0.27021253
140,0.948643
141,0.59608114
142,0.94312197
143,0.43833053
144,0.7308506
145,0.17010207
146,0.15196715
147,0.9722316
148,0.43261683
149,0.9510899
150,-0.1912839
151,0.5025429
152,0.7739709
153,0.58123636
154,0.010762108
155,0.019532615
156,0.22829448
157,0.2115232
158,1.2261833
159,0.50686115
160,0.1372174
161,0.45822376
162,0.4879126
163,0.7028131
164,0.7510175
165,0.005427275
166,0.39880317
167,0.28929645
168,0.8824778
169,0.18859133
170,0.8766291
171,0.55315787
172,1.0198555
173,0.94271415
174,0.3697011
175,0.53150386
176,0.44660226
177,0.28808132
178,0.7066893
179,0.6273334
180,0.7622909
181,0.9152698
182,0.120780356
183,1.0079336
184,0.6672516
185,1.0520912
186,0.7792351
187,0.7324966
188,0.43015072
189,0.5273527
190,0.5895807
191,0.95681685
192,-0.13518056
193,0.9025017
194,0.47955632
195,0.06131884
196,0.49890774
197,0.7665092
198,0.2603262
199,0.93052596
200,0.100853585
201,0.77401155
202,0.7579986
203,0.8450972
204,0.8268707
205,0.82493484
206,0.28500232
207,0.84184587
208,1.0588441
209,0.23384629
210,0.951554
211,0.8768374
212,0.062263045
213,0.80318046
214,0.7052175
215,1.0134505
216,0.21907832
217,0.70909923
218,1.0584507
219,-0.03810756
220,0.8975857
221,0.15803291
222,0.5497903
223,0.6066303
224,0.37895894
225,0.16590817
226,0.4855375
227,0.33883062
228,0.92705494
229,0.84662414
230,1.0211494
231,0.71165437
232,0.24541466
233,0.7398356
234,0.2925287
235,0.5302807
236,0.022877442
237,-0.063853316
238,0.73774093
239,0.13543202
240,0.86946285
241,0.706667
242,0.30234003
243,0.9550854
244,0.07121416
245,0.09433397
246,0.61883914
247,0.841809
248,0.65224785
249,0.64296395
250,0.9085514
251,1.172845
252,0.23138581
253,0.4707535
254,1.0754671
255,0.8496188
