index,nerdiness
0,0.251
1,0.83
2,0.844
3,0.6053333333333333
4,0.858
5,0.07
6,0.678
7,0.821
8,0.4256666666666667
9,0.4186666666666667
10,0.6036666666666667
11,0.882
12,0.8956666666666667
13,0.392
14,0.7133333333333334
15,0.38133333333333336
16,0.192
17,0.5493333333333333
18,0.7236666666666667
19,0.6463333333333333
20,0.3506666666666667
21,0.321
22,0.5646666666666667
23,0.488
24,0.171
25,0.7143333333333334
26,0.7573333333333333
27,0.737
28,0.48533333333333334
29,0.057
30,0.111
31,0.27666666666666667
32,0.863
33,0.5383333333333333
34,0.6766666666666666
35,0.16766666666666666
36,0.437
37,0.44466666666666665
38,0.634
39,0.7856666666666666
40,0.7156666666666667
41,0.18233333333333332
42,0.7163333333333334
43,0.051666666666666666
44,0.808
45,0.254
46,0.8016666666666666
47,0.26666666666666666
48,0.9253333333333333
49,0.787
50,0.37566666666666665
51,0.15
52,0.8156666666666667
53,0.8643333333333333
54,0.9053333333333333
55,0.764
56,0.24433333333333335
57,0.667
58,0.3586666666666667
59,0.5936666666666667
60,0.7656666666666667
61,0.44433333333333336
62,0.8296666666666667
63,0.39866666666666667
64,0.6936666666666667
65,0.5003333333333333
66,0.23
67,0.544
68,0.22933333333333333
69,0.6036666666666667
70,0.988
71,0.44033333333333335
72,0.5013333333333333
73,0.7136666666666667
74,0.6903333333333334
75,0.29633333333333334
76,0.11233333333333333
77,0.615
78,0.7186666666666667
79,0.8503333333333334
80,0.8526666666666667
81,0.7606666666666667
82,0.16633333333333333
83,0.127
84,0.37033333333333335
85,0.629
86,0.9183333333333333
87,0.7673333333333333
88,0.7036666666666667
89,0.7946666666666666
90,0.8323333333333334
91,0.26866666666666666
92,0.32866666666666666
93,0.47533333333333333
94,0.859
95,0.116
96,0.8833333333333333
97,0.7093333333333334
98,0.357
99,0.846
100,0.499
101,0.05733333333333333
102,0.30566666666666664
103,0.7613333333333333
104,0.449
105,0.2783333333333333
106,0.446
107,0.802
108,0.9793333333333333
109,0.24566666666666667
110,0.7156666666666667
111,0.071
112,0.5003333333333333
113,0.5423333333333333
114,0.87
115,0.8126666666666666
116,0.906
117,0.15833333333333333
118,0.7736666666666666
119,0.7793333333333333
120,0.181
121,0.15433333333333332
122,0.241
123,0.863
124,0.8706666666666667
125,0.957
126,0.6476666666666666
127,0.665
128,0.491
129,0.2836666666666667
130,0.935
131,0.6936666666666667
132,0.753
133,0.31833333333333336
134,0.23833333333333334
135,0.06433333333333334
136,0.8706666666666667
137,0.6813333333333333
138,0.9733333333333334
139,0.394
140,0.9263333333333333
141,0.6376666666666667
142,0.847
143,0.4646666666666667
144,0.7373333333333333
145,0.12833333333333333
146,0.07833333333333334
147,0.9453333333333334
148,0.572
